,0,1
0,Pizza Hut,"[320, 'Restaurants, Italian, Pizza, Fast Food, Chicken Wings']"
1,Domino's Pizza,"[209, 'Pizza, Caterers, Restaurants, Event Planning & Services']"
2,Papa John's Pizza,"[152, 'Pizza, Restaurants']"
3,Little Caesars Pizza,"[112, 'Restaurants, Pizza']"
4,Pizza Pizza,"[102, 'Pizza, Restaurants, Italian, Chicken Wings']"
5,Boston Pizza,"[69, 'Pubs, Pizza, American (Traditional), Nightlife, Burgers, Bars, Restaurants']"
6,Papa Murphy's,"[68, 'Restaurants, Pizza']"
7,Marco's Pizza,"[52, 'Italian, Restaurants, Pizza, Chicken Wings']"
8,Pizza Nova,"[52, 'Restaurants, Pizza']"
9,Hungry Howie's Pizza,"[40, 'Restaurants, Pizza']"
