,name,latitude,longitude,state,city
0,Marco's Pizza,41.70852,-81.359556,OH,Mentor-on-the-Lake
1,Domino's Pizza,43.6406266,-79.5389165,ON,Etobicoke
2,Little Caesars Pizza,43.9994281,-79.2368879,ON,Whitchurch-Stouffville
3,Pizza Hut,33.479506,-112.046931,AZ,Phoenix
4,Boston Pizza,51.1638004829,-114.1261184399,AB,Calgary
5,Little Caesars Pizza,43.9988029,-79.474695,ON,Aurora
6,Boston Pizza,43.769460064,-79.4130655378,ON,North York
7,Pizza Pizza,43.6503226,-79.3900762,ON,Toronto
8,Pizza Hut,51.0386268,-113.9667961,AB,Calgary
9,Pizza Hut,41.465371,-81.760242,OH,Cleveland
10,Pizza Hut,40.4270688,-79.937582,PA,Pittsburgh
11,Hungry Howie's Pizza,35.3110293,-80.716159,NC,Charlotte
12,Pizza Pizza,43.6599362,-79.5832703,ON,Etobicoke
13,Domino's Pizza,43.8612259038,-79.3116023107,ON,Markham
14,Pizza Hut,35.4367769658,-80.6797029963,NC,Kannapolis
15,Papa John's Pizza,33.3922513145,-111.9077147293,AZ,Tempe
16,Hungry Howie's Pizza,35.088038,-80.860588,NC,Charlotte
17,Marco's Pizza,35.1704967136,-80.6608630869,NC,Mint Hill
18,Pizza Hut,35.0354342,-80.9721178,SC,Fort Mill
19,Pizza Hut,36.115157,-115.2319877,NV,Las Vegas
20,Papa John's Pizza,35.2730597,-80.9358721,NC,Charlotte
21,Little Caesars Pizza,35.0053328,-80.9455681,SC,Fort Mill
22,Pizza Nova,43.9264369542,-79.4513516204,ON,Richmond Hill
23,Papa John's Pizza,41.1656975,-81.441558,OH,Stow
24,Pizza Hut,43.7637357,-79.2920401,ON,Scarborough
25,Domino's Pizza,40.5897698975,-79.7250798717,PA,New Kensington
26,Papa John's Pizza,43.0146904387,-89.4983652026,WI,Madison
27,Pizza Hut,33.3644506,-111.9131709,AZ,Tempe
28,Pizza Hut,36.1441807,-115.0628631,NV,Las Vegas
29,Pizza Hut,33.5551465,-112.1005889,AZ,Phoenix
30,Pizza Hut,44.0550795,-79.474812,ON,Newmarket
31,Pizza Hut,36.1715690619,-115.2090418909,NV,Las Vegas
32,Papa John's Pizza,35.172285,-80.660703,NC,Mint Hill
33,Papa John's Pizza,36.1020213,-115.2966767,NV,Las Vegas
34,Papa John's Pizza,35.2322636,-81.1675409,NC,Gastonia
35,Pizza Hut,40.3369138,-79.8100027,PA,White Oak
36,Pizza Hut,36.169353,-115.061694,NV,Las Vegas
37,Pizza Hut,43.7705231,-79.1864221,ON,Scarborough
38,Papa Murphy's,33.3044612,-111.9945753,AZ,Phoenix
39,Domino's Pizza,36.020876,-115.047722,NV,Henderson
40,Papa John's Pizza,35.2542070335,-81.0416600544,NC,Belmont
41,Domino's Pizza,33.3371177,-111.7571813,AZ,Gilbert
42,Pizza Hut,40.3672648,-80.1040994,PA,Bridgeville
43,Papa John's Pizza,33.5387916,-112.0480464,AZ,Phoenix
44,Pizza Hut,41.1096793,-81.5702316,OH,Akron
45,Little Caesars Pizza,41.1562919617,-81.861114502,OH,Medina
46,Pizza Pizza,43.5806084,-79.6476882,ON,Mississauga
47,Little Caesars Pizza,33.2932515,-111.788994,AZ,Gilbert
48,Papa Murphy's,36.2390814,-115.2094336,NV,Las Vegas
49,Papa John's Pizza,33.6228734,-112.3319654,AZ,El Mirage
50,Pizza Pizza,43.818136,-79.3050725,ON,Scarborough
51,Domino's Pizza,33.4537442,-111.683725,AZ,Mesa
52,Pizza Hut,36.159444,-115.251164,NV,Las Vegas
53,Boston Pizza,43.7579004,-79.4659499,ON,North York
54,Boston Pizza,51.0173083198,-114.1623957464,AB,Calgary
55,Pizza Hut,33.4568736,-112.3933832,AZ,Goodyear
56,Domino's Pizza,43.6509146,-79.4394628,ON,Toronto
57,Domino's Pizza,36.1916690719,-115.3068856471,NV,Las Vegas
58,Pizza Nova,43.775182,-79.273554,ON,Scarborough
59,Marco's Pizza,41.4657893,-81.5063487,OH,Beachwood
60,Pizza Hut,41.412078,-81.603122,OH,Cleveland
61,Pizza Hut,40.3821848,-79.9046134,PA,Munhall
62,Domino's Pizza,33.5401686,-112.1338888,AZ,Phoenix
63,Pizza Nova,43.9899026,-79.4644997,ON,Aurora
64,Hungry Howie's Pizza,33.6249506,-111.9759423,AZ,Scottsdale
65,Papa Murphy's,35.4761288,-80.8899692,NC,Cornelius
66,Domino's Pizza,45.4947648,-73.574378,QC,Montréal
67,Pizza Hut,33.5805437923,-112.2557231592,AZ,Peoria
68,Little Caesars Pizza,33.482016652,-112.0132941711,AZ,Phoenix
69,Domino's Pizza,41.3109346,-81.8357024,OH,Strongsville
70,Papa Murphy's,33.3107142143,-111.7719693482,AZ,Gilbert
71,Little Caesars Pizza,41.3593115,-81.6862887,OH,Parma
72,Papa John's Pizza,43.654809815,-79.416045472,ON,Toronto
73,Pizza Hut,36.1362575,-115.1512526,NV,Las Vegas
74,Little Caesars Pizza,40.3974544,-80.0852973,PA,Carnegie
75,Hungry Howie's Pizza,33.421963,-112.2910862,AZ,Avondale
76,Pizza Hut,45.5132734,-73.6758868,QC,De l'Eglise
77,Domino's Pizza,40.3492497,-79.8913423,PA,Dravosburg
78,Papa Murphy's,33.3638067151,-111.6556962579,AZ,Mesa
79,Pizza Hut,36.230724,-115.162672,NV,North Las Vegas
80,Marco's Pizza,41.389054,-81.7622506,OH,Cleveland
81,Pizza Hut,36.0709692414,-115.2984465659,NV,Las Vegas
82,Pizza Pizza,43.6546232,-79.4593817,ON,Toronto
83,Pizza Pizza,43.5988243,-79.7118024,ON,Mississauga
84,Boston Pizza,50.9784488,-114.0150795,AB,Calgary
85,Marco's Pizza,35.22574,-81.133624,NC,Gastonia
86,Pizza Pizza,43.7639846802,-79.3997650146,ON,Toronto
87,Boston Pizza,51.0410254,-114.1364277,AB,Calgary
88,Little Caesars Pizza,36.0125444018,-115.1562697068,NV,Las Vegas
89,Domino's Pizza,43.0735188,-89.3928866,WI,Madison
90,Marco's Pizza,33.6393909,-112.1738684,AZ,Glendale
91,Pizza Pizza,43.6079011,-79.6176517,ON,Mississauga
92,Little Caesars Pizza,36.2180235534,-115.1595860908,NV,N. Las Vegas
93,Papa Murphy's,36.2842832,-115.1787004,NV,North Las Vegas
94,Pizza Hut,43.0845849,-89.29958,WI,Madison
95,Pizza Hut,41.083337,-81.5795114,OH,Akron
96,Domino's Pizza,33.466386,-112.167899,AZ,Phoenix
97,Papa Murphy's,33.6671314,-112.1870865,AZ,Glendale
98,Papa Murphy's,33.4503917949,-112.3938827057,AZ,Goodyear
99,Papa Murphy's,36.3013607105,-115.2821881441,NV,Las Vegas
100,Papa John's Pizza,33.4799101,-112.0779712,AZ,Phoenix
101,Boston Pizza,43.5966675,-79.6424333,ON,Mississauga
102,Domino's Pizza,41.127474,-81.609428,OH,Fairlawn
103,Boston Pizza,50.961760366,-114.1215700813,AB,Calgary
104,Domino's Pizza,43.6061904,-79.6914718,ON,Mississauga
105,Little Caesars Pizza,33.3789234,-112.1665409,AZ,Phoenix
106,Pizza Hut,36.0294276103,-115.0859494789,NV,Henderson
107,Papa John's Pizza,33.395649924,-112.0737399906,AZ,Phoenix
108,Papa Murphy's,36.003993,-115.0834834,NV,Henderson
109,Hungry Howie's Pizza,33.4795736441,-111.9816427238,AZ,Phoenix
110,Domino's Pizza,40.127859,-88.274883,IL,Champaign
111,Little Caesars Pizza,36.208962,-115.108677,NV,North Las Vegas
112,Boston Pizza,51.2032209,-113.9930715,AB,Rocky View
113,Pizza Hut,36.0414988022,-115.1531707878,NV,Las Vegas
114,Pizza Hut,33.4220352,-112.2721655,AZ,Tolleson
115,Little Caesars Pizza,36.2190181,-115.2762574,NV,Las Vegas
116,Little Caesars Pizza,33.384321121,-112.0728831809,AZ,Phoenix
117,Pizza Hut,41.4953121,-81.9876543,OH,Avon Lake
118,Papa Murphy's,36.2777302,-115.1163292,NV,North Las Vegas
119,Little Caesars Pizza,33.3056349,-111.720437,AZ,Gilbert
120,Papa Murphy's,33.3939206909,-111.9405783699,AZ,Tempe
121,Pizza Pizza,43.6709952312,-79.3282520771,ON,Toronto
122,Little Caesars Pizza,33.5081735,-112.0947772,AZ,Phoenix
123,Domino's Pizza,41.4633968,-81.0930288,OH,Middlefield
124,Little Caesars Pizza,35.9991237,-115.1039473,NV,Henderson
125,Hungry Howie's Pizza,33.2937263,-111.7218586,AZ,Gilbert
126,Pizza Hut,43.7109719,-79.2908941141,ON,Scarborough
127,Papa Murphy's,35.0355952,-80.8044731,NC,Charlotte
128,Domino's Pizza,33.596049607,-112.2189349615,AZ,Peoria
129,Little Caesars Pizza,36.0408717745,-115.1015072121,NV,Henderson
130,Little Caesars Pizza,36.2412164566,-115.0779131743,NV,Las Vegas
131,Marco's Pizza,41.4185601,-82.1288178,OH,Lorain
132,Pizza Hut,43.7943731,-79.353754,ON,North York
133,Papa John's Pizza,33.4172963,-111.7355052,AZ,Mesa
134,Papa Murphy's,43.0177969,-89.4233931,WI,Fitchburg
135,Pizza Hut,41.2438201,-81.3450765,OH,Streetsboro
136,Domino's Pizza,41.384607,-81.439568,OH,Solon
137,Pizza Hut,33.4145121,-111.8720823,AZ,Mesa
138,Pizza Hut,36.094673,-115.208822,NV,Las Vegas
139,Boston Pizza,45.560628,-73.741411,QC,Laval
140,Pizza Hut,33.5227229,-112.0479103,AZ,Phoenix
141,Little Caesars Pizza,35.2122069,-80.6904682,NC,Charlotte
142,Pizza Hut,41.4253019,-82.0765044,OH,Elyria
143,Pizza Hut,35.4961609,-80.6283339,NC,Kannapolis
144,Pizza Hut,36.0315955637,-114.9700385535,NV,Henderson
145,Papa John's Pizza,33.611668,-111.927589,AZ,Scottsdale
146,Pizza Hut,41.7011604584,-81.3773120356,OH,Mentor
147,Pizza Pizza,43.570217,-79.566431,ON,Mississauga
148,Pizza Hut,35.118784,-81.0855811,SC,Lake Wylie
149,Marco's Pizza,41.464121,-81.5596149,OH,Cleveland
150,Domino's Pizza,43.1778773,-89.2398118,WI,Sun Prairie
151,Domino's Pizza,33.4949799,-112.2234001,AZ,Phoenix
152,Marco's Pizza,41.1418551,-81.8635223,OH,Medina
153,Papa John's Pizza,35.029324,-80.850153,NC,Charlotte
154,Marco's Pizza,41.5197741128,-81.4599117076,OH,Mayfield Heights
155,Little Caesars Pizza,41.419001151,-81.7288836683,OH,Cleveland
156,Little Caesars Pizza,36.1958296,-115.0627704,NV,Las Vegas
157,Papa John's Pizza,35.1068061,-80.8068776,NC,Charlotte
158,Papa Murphy's,43.0321886,-89.4980948,WI,Madison
159,Boston Pizza,50.9612285,-114.0723083,AB,Calgary
160,Little Caesars Pizza,36.0674907529,-115.0686471666,NV,Henderson
161,Pizza Pizza,43.930132,-79.5185398,ON,King City
162,Little Caesars Pizza,33.5389001,-112.136734,AZ,Phoenix
163,Pizza Hut,33.609624,-112.1343297,AZ,Phoenix
