,text,stars,Pizza,user_id,name
166690,"All it's left me was with stomach pains
The pizza is as bland and awful as always.The delivery was prompt and it made the kids very happy so there's that. (From Fox.)",2,Papa John's Pizza,Hi10sGSZNxQH3NLyWSZ1oA,Fox
67665,"Easy to navigate web page and lots of choices for pizza and other items. They have their own creations and the usual classics or simply build your own. 
Still hot and delicious!  (From Bruce)",4,Boston Pizza,hWDybu_KvYLSdEFzGrniTw,Bruce
125774,"Papa John's had it delivered in 32 minutes, still hot and still fresh. Good flavor, good coverage of toppings.( From Bruce)",4,Papa John's Pizza,hWDybu_KvYLSdEFzGrniTw,Bruce
231603,"Decent and inexpensive pizzas
Note: Some people drive this parking lot very quickly. Be careful .(From Bruce)",4,Hungry Howie's Pizza,hWDybu_KvYLSdEFzGrniTw,Bruce
2160,Wing prices are good but sauces are lackluster and meat to bone ratio is low. (From Stefany),3,Pizza Hut,bLbSNkLggFnqwNNzzq-Ijw,Stefany
232621,"Lunch special of deep-dish slices and a drink for $5 is mad decent. Deep dish pizza here is surprisingly good, and even buying a whole is cheap, but only if we're talking calories and not nutrition. 
  (From Stefany)",3,Little Caesars Pizza,bLbSNkLggFnqwNNzzq-Ijw,Stefany
251349,"The management at this particular location has been great about reaching out and cultivating relationships with local schools- fundraisers, discounts for school orders, etc. and they've been easy to work with.
Their pizza isn't as greasy as other spots, which I really appreciate. (From Jennifer)",4,Marco's Pizza,bLbSNkLggFnqwNNzzq-Ijw,Stefany
147498,"Domino's Fact:  There are more than 34 million ways to create a single Domino's pizza.
The location is decently clean and the staff was helpful.  (From Joyce)",3,Domino's Pizza,zFYs8gSUYDvXkb6O7YkRkw,Joyce
169796,"Great friendly staff! Really small store with minimum seating area. Great for takeout. 
The slices here is large and with really thick crust. Perfect if you have craving for carbs. $5/2 slices. 
Great for a quick lunch option. (From Jennifer)",3,Pizza Pizza,CxDOIDnH8gp9KXzpBHJYXw,Jennifer
332916,"Beers on drafts are a little boring. But if you are into Canadian or Coors, they do have a pitcher special on Game Night.And for me, I am just happy to drink my beer at the bar and watch my teams win! (From Jennifer)",3,Boston Pizza,CxDOIDnH8gp9KXzpBHJYXw,Jennifer
357410,Service here is fast and friendly as there were a few waitress working in the bar area. (From Jennifer),3,Boston Pizza,CxDOIDnH8gp9KXzpBHJYXw,Jennifer
364900,This Boston Pizza's location feels dated and the dining room area just feels dark and closed in.The service here though was always good.Not a bad option to come here to catch a game or a quick drink with your friends since there are not much choices in the area. (From Dave),3,Boston Pizza,CxDOIDnH8gp9KXzpBHJYXw,Jennifer
389691,A Bacon in my Caesar!Boston Pizza bar area was packed even on a Tuesday night?! I guess I will be back for more Caesars.(From Jennifer),3,Boston Pizza,CxDOIDnH8gp9KXzpBHJYXw,Jennifer
44479,"Thai Chili Shrimp - spicy with a hint of sweetness a nice appetizer . Dry Rubbed Pepper Ribs - no sauce riblets, tasty but there are small bones fragments present (not a deal break but just be aware). The pours were very good and our bartender provided excellent service throughout our visit  (From Dave)",3,Boston Pizza,a4mO387_O77ebmv8AlQB3A,Dave
42762,"Papa Murphy's is like the Subway of pizza, with the speed and efficiency of Jimmy John's. You order your pizza, and in a wink of an eye it's made right in front of you. (From Karen)",4,Papa Murphy's,DK57YibC5ShBmqQl97CKog,Karen
137311,"Cheap eats.  Their distinguishing feature are their flavored crusts, which are crusts that are sprinkled with various spice mixes, or with butter.  Not the best pizza, but you get a lot of pizza for your money. (From Karen)",3,Hungry Howie's Pizza,DK57YibC5ShBmqQl97CKog,Karen
309078,The pizzas are always tasty. Their cookies are pretty good too. Instructions are clear and easy to follow. (From Karen),4,Papa Murphy's,DK57YibC5ShBmqQl97CKog,Karen
