name,stars,stars
Boston Pizza,1.0,438
Boston Pizza,4.0,308
Boston Pizza,3.0,306
Boston Pizza,2.0,272
Boston Pizza,5.0,207
Domino's Pizza,1.0,1585
Domino's Pizza,5.0,768
Domino's Pizza,4.0,421
Domino's Pizza,2.0,313
Domino's Pizza,3.0,282
Hungry Howie's Pizza,1.0,370
Hungry Howie's Pizza,5.0,246
Hungry Howie's Pizza,4.0,184
Hungry Howie's Pizza,2.0,139
Hungry Howie's Pizza,3.0,135
Little Caesars Pizza,1.0,963
Little Caesars Pizza,5.0,229
Little Caesars Pizza,2.0,228
Little Caesars Pizza,3.0,216
Little Caesars Pizza,4.0,195
Marco's Pizza,5.0,389
Marco's Pizza,4.0,218
Marco's Pizza,1.0,210
Marco's Pizza,3.0,119
Marco's Pizza,2.0,110
Papa John's Pizza,1.0,1205
Papa John's Pizza,5.0,427
Papa John's Pizza,4.0,256
Papa John's Pizza,2.0,253
Papa John's Pizza,3.0,211
Papa Murphy's,5.0,553
Papa Murphy's,4.0,217
Papa Murphy's,1.0,129
Papa Murphy's,3.0,97
Papa Murphy's,2.0,89
Pizza Hut,1.0,2735
Pizza Hut,5.0,664
Pizza Hut,2.0,499
Pizza Hut,4.0,451
Pizza Hut,3.0,385
Pizza Nova,4.0,75
Pizza Nova,5.0,73
Pizza Nova,1.0,68
Pizza Nova,3.0,48
Pizza Nova,2.0,45
Pizza Pizza,1.0,271
Pizza Pizza,3.0,124
Pizza Pizza,4.0,88
Pizza Pizza,2.0,78
Pizza Pizza,5.0,59
