,user_id,name,average_stars,review_count,fans,yelping_since,fans,cool,funny,useful,compliment_cool,compliment_funny,compliment_plain
20,pU6GoRTcl1rIOi6zMynjog,Javier,3.45,470,71,2011-12-16 16:13:01,71,974,1007,1655,64,64,32
23,J9HamWsxKorlPGUAXy-M9Q,Ronald,3.81,336,19,2010-05-17 22:59:40,19,228,189,431,19,19,15
37,rnU1EFMSnVJGrQxrnjaODg,Fred,3.95,431,58,2010-12-28 01:37:20,58,2158,1338,3157,201,201,118
40,tj_j9-8YwYZ7ohOsQD5H_w,Jenna,4.95,17,3,2012-07-28 01:19:04,3,50,6,64,0,0,4
47,d7D4dYzF6THtOx9imf-wPw,Regina,3.66,1053,231,2008-12-05 07:16:22,231,9594,6997,11769,822,822,611
55,jx-BchSqX2PlnMflR62Urw,Jack,3.76,188,21,2012-02-27 03:50:40,21,118,175,275,1,1,6
59,i3dgAM1hWY9UdUCNMDnLXQ,Victoria,4.32,95,3,2014-07-08 21:01:02,3,87,44,114,3,3,5
61,Z_ZkQgFtL2skSyZ9_9NUaQ,Lindsay,4.44,16,2,2015-10-26 01:06:15,2,1,3,9,0,0,0
71,6CVEGPmmgCH4PDGUbeBpKw,Jallil,4.27,104,9,2015-03-12 18:53:25,9,26,17,62,3,3,1
74,ryf4jg4g3xweyIjkGOY3vg,Haley,4.21,443,63,2008-09-13 05:27:51,63,601,383,975,9,9,22
78,-oHBgKNC6xGHIGdoZW3ReQ,Chelsea,3.81,55,7,2008-09-06 02:56:01,7,61,120,161,5,5,5
83,on3cA28Qu-Eh50IuS2iq6w,Priscilla,3.22,16,0,2013-07-25 02:48:09,0,4,5,34,0,0,0
88,Ar3bat-NGasrXDiS7WF8OA,Nette,3.8,1090,426,2010-02-22 17:55:36,426,5589,3807,7065,564,564,366
91,fmPko8NeSgKpb5YwhLJ_gg,Shannon,3.06,249,15,2009-12-23 05:53:31,15,101,72,212,20,20,40
92,0caEeLnTD7qENhy4wmUFXg,Stephanie,4.1,90,7,2008-08-04 02:27:06,7,180,102,304,31,31,17
94,SNQcE_Bc0QAbxFu5F1dTzw,Michele,4.38,244,23,2011-02-01 01:29:47,23,145,76,435,13,13,13
97,jVvKhFgCTW0PgkMbiCkp3A,Jerron,4.14,37,1,2011-04-18 01:34:29,1,10,11,35,4,4,2
103,QFrfQw7FH96Vk6PFxxTLcA,Gigi,3.56,436,54,2009-08-11 23:16:30,54,469,430,897,14,14,30
121,QTeq4wLhXlN4Dr0obpLnbQ,Daniel,3.36,874,73,2013-02-16 19:05:31,73,878,1214,2067,51,51,29
135,yH3Jyu5vRTAJ8uMAD2bLGQ,Andre,3.96,659,59,2009-07-22 03:10:08,59,815,536,1600,162,162,189
161,vfPUBDkKsWBb2YOKXG8r5w,Stephanie,4.15,57,3,2013-07-22 04:58:13,3,23,14,63,2,2,1
163,gRtIqKlpP_YNp45x-MmeQQ,Sharon,3.93,593,40,2009-04-16 02:43:25,40,705,514,1295,19,19,17
174,jX7n6KfNZ22kBh6AHhxRbA,Arvin,4.67,259,30,2008-08-25 21:56:41,30,625,487,800,104,104,53
187,DC3dWmmiExUeil94ns4TDg,Yvette,3.95,231,96,2009-03-30 01:12:53,96,1567,1498,1845,466,466,399
188,UH6RCH9K1o2VW3CU8PY5iQ,Julie,3.72,788,188,2008-03-28 17:58:35,188,2853,2319,3668,491,491,275
198,9_VZZoTJUGwHhneNYXT1Fw,Marco,4.39,150,14,2014-03-01 14:42:45,14,179,106,247,40,40,14
216,hrHy0S30UgjPy-dj1J4WNA,Libbi,4.03,137,9,2010-01-08 05:50:04,9,62,35,175,2,2,4
222,WgEKUJoh5msZlOlTCKnKtg,Monica,3.98,133,16,2011-11-12 01:20:30,16,90,49,149,8,8,12
228,KLX6I1nObmgkex8pbVMhEQ,Heather,3.56,299,64,2010-03-15 19:24:55,64,3727,3477,4502,417,417,351
238,AxFluVrPUVN0pPBX7LD--A,Michelle,3.26,30,1,2013-08-29 23:03:52,1,4,4,15,2,2,1
