"","X","user_id","name","average_stars","review_count","fans","yelping_since","fans.1","cool","funny","useful","compliment_cool","compliment_funny","compliment_plain","weight","weight"
"1",1,"bc8C_eETBWL0olvFSJJd0w","David",3.71,16,0,"2013-10-04 00:16:10",0,10,8,28,0,0,0,0.0016857681589017,0.0016857681589017
"2",34,"eSlOI3GhroEtcbaD_nFXJQ","Jason",3.61,2518,251,"2011-05-28 21:42:38",251,13924,8340,16349,2267,2267,2861,0.688235422370725,0.688235422370725
"3",67,"e67TGUfNnz04A1Ahd0tF2A","Swapnil",3.11,44,2,"2013-08-22 02:55:51",2,6,21,43,0,0,0,0.0050628006329491,0.0050628006329491
"4",77,"W1AFbtC37Q1RzdrKS51NmQ","Bobby",3.64,376,39,"2010-03-10 23:55:33",39,1124,1036,1754,106,106,77,0.0812650482977235,0.0812650482977235
"5",103,"QFrfQw7FH96Vk6PFxxTLcA","Gigi",3.56,436,54,"2009-08-11 23:16:30",54,469,430,897,14,14,30,0.0678384344925676,0.0678384344925676
"6",111,"F78tJHr0qW6FsYBtWMmLpA","Christopher",3.83,267,49,"2011-05-18 23:00:16",49,1157,767,1438,146,146,71,0.0667226991950723,0.0667226991950723
"7",114,"TUE3NJYN4i7xyGVSIXMLvw","Kymberly",3.93,13,0,"2017-06-19 21:39:41",0,2,2,11,0,0,0,0.00118775896526039,0.00118775896526039
"8",145,"5fX9IC0SYx6oivxms2yKfQ","Juanita",3.86,615,134,"2012-01-21 23:07:52",134,1293,1010,1969,258,258,255,0.131804413907104,0.131804413907104
"9",147,"vRjVhl3ONG2GfWY4NXJZbQ","Dan",3.29,605,154,"2007-07-16 18:09:50",154,7461,6226,7803,1332,1332,1141,0.340530591146958,0.340530591146958
"10",193,"rqb5abV146wcU-Z7JxfEIQ","Rosie",4.05,188,15,"2013-05-18 04:12:15",15,436,362,582,27,27,11,0.0334006397680963,0.0334006397680963
